Code,Name,sec_name,Wind_ind,GICS_ind,HS_ind,Code_jieli
0001.HK,长和,长和,工业--资本货物--综合类Ⅲ--综合类行业,工业_资本品_工业集团企业Ⅲ_工业集团企业,综合业(HS),E00001
0002.HK,中电控股,中电控股,公用事业--公用事业Ⅱ--电力Ⅲ--电力,公用事业_公用事业Ⅱ_电力公用事业Ⅲ_电力公用事业,公用事业(HS),E00002
0003.HK,香港中华煤气,香港中华煤气,公用事业--公用事业Ⅱ--燃气Ⅲ--燃气,公用事业_公用事业Ⅱ_燃气公用事业Ⅲ_燃气公用事业,公用事业(HS),E00003
0004.HK,九龙仓集团,九龙仓集团,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E00004
0005.HK,汇丰控股,汇丰控股,金融--银行--商业银行--多元化银行,金融_银行_商业银行_综合性银行,银行业(HS),E00005
0006.HK,电能实业,电能实业,公用事业--公用事业Ⅱ--电力Ⅲ--电力,公用事业_公用事业Ⅱ_电力公用事业Ⅲ_电力公用事业,公用事业(HS),E00006
0007.HK,香港金融集团,香港金融集团,能源--能源Ⅱ--石油、天然气与供消费用燃料--石油与天然气的炼制和销售,能源_能源Ⅱ_石油、天然气与消费用燃料_石油与天然气的炼制和营销,原材料业(HS),E00007
0008.HK,电讯盈科,电讯盈科,电信服务--电信服务Ⅱ--多元电信服务--综合电信服务,通信服务_电信业务Ⅱ_综合电信业务Ⅲ_综合电信业务,电讯业(HS),E00008
0009.HK,九号运通,九号运通,房地产--房地产Ⅱ--房地产管理和开发--房地产经营公司,房地产_房地产Ⅱ_房地产管理和开发_房地产经营公司,地产基建(HS),E00009
0010.HK,恒隆集团,恒隆集团,房地产--房地产Ⅱ--房地产管理和开发--房地产经营公司,房地产_房地产Ⅱ_房地产管理和开发_房地产经营公司,地产基建(HS),E00010
0011.HK,恒生银行,恒生银行,金融--银行--商业银行--多元化银行,金融_银行_商业银行_综合性银行,银行业(HS),E00011
0012.HK,恒基地产,恒基地产,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E00012
0014.HK,希慎兴业,希慎兴业,房地产--房地产Ⅱ--房地产管理和开发--房地产经营公司,房地产_房地产Ⅱ_房地产管理和开发_房地产经营公司,地产基建(HS),E00014
0015.HK,盈信控股,盈信控股,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E00015
0016.HK,新鸿基地产,新鸿基地产,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E00016
0017.HK,新世界发展,新世界发展,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E00017
0018.HK,东方报业集团,东方报业集团,可选消费--媒体Ⅱ--媒体Ⅲ--出版,通信服务_媒体与娱乐_媒体Ⅲ_出版,媒体娱乐(HS),E00018
0019.HK,太古股份公司A,太古股份公司A,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,综合业(HS),E00019
0020.HK,会德丰,会德丰,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E00020
0021.HK,大中华地产控股,大中华地产控股,房地产--房地产Ⅱ--房地产管理和开发--房地产经营公司,房地产_房地产Ⅱ_房地产管理和开发_房地产经营公司,地产基建(HS),E00021
0022.HK,茂盛控股,茂盛控股,可选消费--消费者服务Ⅱ--酒店、餐馆与休闲Ⅲ--酒店、度假村与豪华游轮,非日常生活消费品_消费者服务_酒店、餐馆与休闲_酒店、度假村与豪华游轮,休闲服务(HS),E00022
0023.HK,东亚银行,东亚银行,金融--银行--商业银行--多元化银行,金融_银行_商业银行_综合性银行,银行业(HS),E00023
0024.HK,宝威控股,宝威控股,工业--资本货物--贸易公司与工业品经销商Ⅲ--贸易公司与工业品经销商,工业_资本品_贸易公司与经销商Ⅲ_贸易公司与经销商,原材料业(HS),E00024
0025.HK,CHEVALIER INT'L,CHEVALIER INT'L,工业--资本货物--综合类Ⅲ--综合类行业,工业_资本品_工业集团企业Ⅲ_工业集团企业,地产基建(HS),E00025
0026.HK,中华汽车,中华汽车,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E00026
